Date,Open,High,Low,Close,Volume
2024-07-03 14:13:00,225.34,225.97,225.1,225.72,7041
2024-07-03 14:14:00,225.68,226.15,225.68,225.81,6065
2024-07-03 14:15:00,225.82,226.11,225.63,225.87,6594
2024-07-03 14:16:00,226.14,226.49,226.0,226.31,9521
2024-07-03 14:17:00,226.18,226.35,226.02,226.16,4133
2024-07-03 14:18:00,226.14,226.4,226.01,226.17,11391
2024-07-03 14:19:00,226.23,226.33,226.16,226.24,3497
2024-07-03 14:20:00,226.28,226.8,226.28,226.45,15152
2024-07-03 14:21:00,226.44,227.11,226.44,226.72,28497
2024-07-03 14:22:00,226.63,226.63,225.5,225.83,26117
2024-07-03 14:23:00,225.86,226.47,225.86,226.23,6711
2024-07-03 14:24:00,226.44,226.8,226.44,226.8,3376
2024-07-03 14:25:00,226.7,226.88,226.1,226.18,8600
2024-07-03 14:26:00,226.21,226.38,225.83,226.38,7942
2024-07-03 14:27:00,226.52,226.52,225.74,225.74,8836
2024-07-03 14:28:00,225.7,225.92,225.5,225.75,6435
2024-07-03 14:29:00,225.77,225.88,225.62,225.78,4935
2024-07-03 14:30:00,225.68,225.68,225.3,225.54,12609
2024-07-03 14:31:00,225.59,225.72,225.26,225.72,8590
2024-07-03 14:32:00,225.39,225.72,225.26,225.47,8901
